Date,Price,Open,High,Low,Vol.,Change %
"Apr 07, 2015",1298.4,1298.4,1298.4,1298.4,0.41K,-0.54%
"Apr 06, 2015",1305.4,1305.4,1305.4,1305.4,0.34K,1.34%
"Apr 03, 2015",1288.2,1288.2,1288.2,1288.2,-,0%
"Apr 02, 2015",1288.2,1288.2,1288.2,1288.2,1.68K,-0.46%
"Apr 01, 2015",1294.2,1294.2,1294.2,1294.2,1.63K,1.73%
"Mar 31, 2015",1272.2,1272.2,1272.2,1272.2,3.41K,-0.33%
"Mar 30, 2015",1276.4,1276.4,1276.4,1276.4,37.99K,-1.2%
"Mar 27, 2015",1291.9,1291.9,1291.9,1291.9,0.00K,-0.39%
"Mar 26, 2015",1297,1297,1297,1297,0.07K,0.75%
"Mar 25, 2015",1287.3,1287.3,1287.3,1287.3,0.01K,0.48%
"Mar 24, 2015",1281.2,1281.2,1281.2,1281.2,0.41K,0.29%
"Mar 23, 2015",1277.5,1277.5,1277.5,1277.5,0.01K,0.22%
"Mar 20, 2015",1274.7,1274.7,1274.7,1274.7,0.05K,1.21%
"Mar 19, 2015",1259.5,1259.5,1259.5,1259.5,0.04K,0.96%
"Mar 18, 2015",1247.5,1247.5,1247.5,1247.5,0.11K,0.24%
"Mar 17, 2015",1244.5,1244.5,1244.5,1244.5,0.07K,-0.38%
"Mar 16, 2015",1249.3,1249.3,1249.3,1249.3,0.06K,0.03%
"Mar 13, 2015",1248.9,1248.9,1248.9,1248.9,0.04K,-0.01%
"Mar 12, 2015",1249,1249,1249,1249,0.06K,0.05%
"Mar 11, 2015",1248.4,1248.4,1248.4,1248.4,0.07K,-0.77%
"Mar 10, 2015",1258.1,1258.1,1258.1,1258.1,0.09K,-0.78%
"Mar 09, 2015",1268,1268,1268,1268,0.05K,0.19%
"Mar 06, 2015",1265.6,1265.6,1265.6,1265.6,0.17K,-2.35%
"Mar 05, 2015",1296.1,1296.1,1296.1,1296.1,0.03K,-0.35%
"Mar 04, 2015",1300.6,1300.6,1300.6,1300.6,0.03K,-0.28%
"Mar 03, 2015",1304.2,1304.2,1304.2,1304.2,0.05K,-0.12%
"Mar 02, 2015",1305.8,1305.8,1305.8,1305.8,0.12K,-0.27%
"Feb 27, 2015",1309.4,1309.4,1309.4,1309.4,0.20K,0.25%
"Feb 26, 2015",1306.1,1306.1,1306.1,1306.1,0.56K,0.78%
"Feb 25, 2015",1296,1296,1296,1296,0.02K,0.22%
"Feb 24, 2015",1293.1,1293.1,1293.1,1293.1,0.15K,-0.43%
"Feb 23, 2015",1298.7,1298.7,1298.7,1298.7,0.27K,-0.35%
"Feb 20, 2015",1303.2,1303.2,1303.2,1303.2,0.05K,-0.28%
"Feb 19, 2015",1306.9,1306.9,1306.9,1306.9,0.07K,0.41%
"Feb 18, 2015",1301.5,1301.5,1301.5,1301.5,0.15K,-0.64%
"Feb 17, 2015",1309.9,1323.3,1323.3,1323.3,0.00K,6.35%
"Feb 16, 2015",1231.7,1228.7,1236.4,1228.5,-,0.24%
"Feb 15, 2015",1228.8,1228.2,1229.3,1227.8,-,-7.27%
"Feb 13, 2015",1325.2,1325.2,1325.2,1325.2,0.07K,0.49%
"Feb 12, 2015",1318.7,1318.7,1318.7,1318.7,0.10K,-0.04%
"Feb 11, 2015",1319.2,1319.2,1319.2,1319.2,0.10K,-0.9%
"Feb 10, 2015",1331.2,1331.2,1331.2,1331.2,0.23K,-0.65%
"Feb 09, 2015",1339.9,1339.9,1339.9,1339.9,0.32K,0.55%
"Feb 06, 2015",1332.6,1332.6,1332.6,1332.6,0.43K,-1.65%
"Feb 05, 2015",1354.9,1354.9,1354.9,1354.9,0.13K,-1.35%
"Feb 04, 2015",1373.4,1367,1367,1367,0.00K,0.45%
"Feb 03, 2015",1367.3,1367.3,1367.3,1367.3,2.38K,-1.09%
"Feb 02, 2015",1382.4,1382.4,1382.4,1382.4,1.65K,-0.16%
"Jan 30, 2015",1384.6,1384.6,1384.6,1384.6,8.63K,1.53%
"Jan 29, 2015",1363.8,1380.2,1380.2,1380.2,0.00K,-2.74%
"Jan 28, 2015",1402.2,1402.2,1402.2,1402.2,0.03K,-0.88%
"Jan 27, 2015",1414.7,1414.7,1414.7,1414.7,0.02K,0.65%
"Jan 26, 2015",1405.6,1405.6,1405.6,1405.6,0.03K,-0.85%
"Jan 23, 2015",1417.6,1417.6,1417.6,1417.6,0.02K,-0.53%
"Jan 22, 2015",1425.2,1425.2,1425.2,1425.2,0.13K,0.83%
"Jan 21, 2015",1413.4,1391.1,1391.1,1390.9,0.00K,0.07%
"Jan 20, 2015",1412.4,1380,1380,1380,0.00K,10.7%
"Jan 19, 2015",1275.9,1279.4,1279.5,1272.5,-,-0.24%
"Jan 18, 2015",1279,1281,1281.9,1275.7,-,-8.96%
"Jan 16, 2015",1404.9,1404.9,1404.9,1404.9,0.04K,0.87%
"Jan 15, 2015",1392.8,1380,1380,1380,0.00K,2.07%
"Jan 14, 2015",1364.5,1364.5,1364.5,1366.7,0.02K,-0.73%
"Jan 13, 2015",1374.5,1377.4,1377.4,1377.4,0.00K,0.09%
"Jan 12, 2015",1373.2,1357.4,1357.4,1357.4,0.00K,1.16%
"Jan 09, 2015",1357.4,1357.4,1357.4,1357.4,0.04K,0.43%
"Jan 08, 2015",1351.6,1351.6,1351.6,1350,0.09K,-0.15%
"Jan 07, 2015",1353.6,1353.6,1353.6,1350.3,0.03K,-0.63%
"Jan 06, 2015",1362.2,1362.2,1362.2,1362.2,0.10K,0.64%
"Jan 05, 2015",1353.5,1340,1340,1340,0.00K,1.18%
"Jan 02, 2015",1337.7,1337.7,1337.7,1337.7,0.14K,12.71%
"Jan 01, 2015",1186.8,1184.1,1187.5,1184.1,-,-11.13%
"Dec 31, 2014",1335.4,1335.4,1335.4,1346.7,0.09K,1.79%
"Dec 30, 2014",1311.9,1181.4,1210.3,1181.4,0.19K,1.47%
"Dec 29, 2014",1292.9,1186.5,1186.5,1181.3,0.06K,-1.13%
"Dec 26, 2014",1307.7,1177.2,1194.4,1177.2,0.12K,11.1%
"Dec 25, 2014",1177,1175,1178.9,1175,-,-8.45%
